BEDSCode,school_name,address,city,state,zip,longitude,latitude
310200011551,URBAN ASSEMBLY NY HARBOR SCHOOL,10 SOUTH ST-SLIP 7,NEW YORK,NY,10004,-74.018941,40.689493
310200011551,URBAN ASSEMBLY NY HARBOR SCHOOL,10 SOUTH ST-SLIP 7,NEW YORK,NY,10004,-74.018941,40.689493
310200011560,HS 560 CITY-AS-SCHOOL,16 CLARKSON ST,NEW YORK,NY,100144377,-74.006155,40.729052
310200011560,HS 560 CITY-AS-SCHOOL,16 CLARKSON ST,NEW YORK,NY,100144377,-74.006155,40.729052
310200011565,URBAN ACAD LABORATORY HIGH SCHOOL,317 E 67TH ST,NEW YORK,NY,10065,-73.959777,40.765638
310200011570,SATELLITE ACADEMY HIGH SCHOOL,120 W 30TH ST,NEW YORK,NY,100014002,-73.990562,40.747425
310200011575,MANHATTAN COMP NIGHT AND DAY HS,240 2ND AVE,NEW YORK,NY,100032704,-73.984333,40.732699
310200011580,RICHARD R GREEN HS OF TEACHING,7 BEAVER ST,NEW YORK,NY,10004,-74.013303,40.705688
310200011580,RICHARD R GREEN HS OF TEACHING,7 BEAVER ST,NEW YORK,NY,10004,-74.013303,40.705688
310200011586,HARVEY MILK HIGH SCHOOL,2-10 ASTOR PL,NEW YORK,NY,10003,-73.992343,40.729661
310200011600,HIGH SCH OF FASHION INDUSTRIES (THE),225 W 24TH ST,NEW YORK,NY,100111794,-73.996354,40.745677
310200011605,HUMANITIES PREP ACADEMY,351 W 18TH ST,NEW YORK,NY,100114498,-74.00254,40.743407
310200011615,CHELSEA CAREER AND TECH ED HS,131 AVE OF THE AMERICAS,NEW YORK,NY,100131597,-74.005058,40.72463
310200011630,ART AND DESIGN HIGH SCHOOL,231-249 E 56TH ST,NEW YORK,NY,10019,-73.967204,40.759248
310200011655,LIFE SCIENCES SECONDARY SCHOOL,320 E 96TH ST,NEW YORK,NY,10128,-73.945933,40.783286
310200145242,CATHEDRAL HIGH SCHOOL,350 E 56TH ST,NEW YORK,NY,100224199,-73.964016,40.7576496
